fsq_id,latitude,longitude,category_group
659,40.749917,-73.939736,bars_&_clubs
660,40.762028,-73.924602,bars_&_clubs
661,40.742516,-73.950196,bars_&_clubs
662,40.775937,-73.902625,bars_&_clubs
663,40.770601,-73.920776,bars_&_clubs
664,40.736434,-73.708185,bars_&_clubs
665,40.769496,-73.927857,bars_&_clubs
666,40.748761,-73.715756,bars_&_clubs
667,40.684367,-73.831605,bars_&_clubs
668,40.674077,-73.776519,bars_&_clubs
669,40.700094,-73.894379,bars_&_clubs
670,40.68164,-73.765139,bars_&_clubs
671,40.739304,-73.859163,bars_&_clubs
672,40.747467,-73.887454,bars_&_clubs
673,40.767338,-73.832794,bars_&_clubs
674,40.759842,-73.901105,bars_&_clubs
