id,name,latitude,longitude,category,address,borough,price,rating,hours,popularity,website,phone
49ebbf61f964a52020671fe3,Central Park Mall,40.772378,-73.971532,Park,"N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 8",Manhattan,,,,,,
4de1aad88877bcb68632dd26,Riverside Park,40.809406,-73.967472,Playground,"N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 5",Manhattan,,,,,,
4e8f0520490102ea52ca588b,Central Park - W 69th St Entrance Garden,40.774386,-73.977116,Botanical Garden,"W,  , 6, 9, T, H,  , S, t,  , (, C, e, n, t, r, a, l,  , P, a, r, k,  , W, e, s, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 3",Manhattan,,,,,,
4def7f02fa76c1ceac932900,Central Park - Wien Walk,40.76599,-73.972245,Park,"5, t, h,  , A, v, e,  , (, a, t,  , E,  , 6, 1, s, t,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 6, 5",Manhattan,,,,,,
4b6f1201f964a520f8da2ce3,Diana Ross Playground,40.769697,-73.982876,Playground,"C, e, n, t, r, a, l,  , P, a, r, k,  , W,  , (, a, t,  , 8, 1, s, t,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 4",Manhattan,,,,,,
49ee4a7df964a52047681fe3,Carl Schurz Park,40.775229,-73.943631,Playground,"5, 9, 9,  , E,  , 8, 6, t, h,  , S, t,  , (, a, t,  , E, a, s, t,  , E, n, d,  , A, v, e, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 8",Manhattan,,,,,,
4adf50e7f964a520627921e3,Hudson Greenery 59th Entrance,40.77771420012256,-73.98937940597534,Park,"R, i, v, e, r, s, i, d, e,  , B, l, v, d,  , (, b, t, w, n,  , W,  , 6, 5, t, h,  , &,  , W,  , 7, 2, n, d,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 6, 9",Manhattan,,,,,,
4ba53855f964a520a0ed38e3,Carl Schurz Dog Run,40.773926,-73.943931,Dog Park,"E,  , E, N, D,  , A, V, E,  , A, N, D,  , 8, 6, T, H,  , S, t,  , (, E, a, s, t,  , R, i, v, e, r,  , P, r, o, m, e, n, a, d, e, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 1, 2, 8",Manhattan,,,,,,
4a621e5bf964a52021c31fe3,96th Street Playground,40.787594,-73.955601,Playground,"5, T, H,  , A, v, e,  , (, a, t,  , E,  , 9, 6, t, h,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 1, 2, 8",Manhattan,,,,,,
4f9ef5c0e4b0849ad241532a,Imagine Circle,40.775734,-73.975159,Memorial Site,"C, e, n, t, r, a, l,  , P, a, r, k, ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 3",Manhattan,,,,,,
4e95c2f5108168120ad2f07e,City Swiggers,40.777356,-73.950923,Beer Store,"3, 2, 0,  , E,  , 8, 6, t, h,  , S, t,  , (, b, t, w, .,  , 1, s, t,  , A, v, e, .,  , &,  , 2, n, d,  , A, v, e, ., ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 8",Manhattan,,,,,,
